school,nickname,conference,year,Football,Men's Basketball,Women's Basketball,Men's Fencing,Women's Fencing,Men's Golf,Women's Golf,Men's Gymnastics,Women's Gymnastics,Men's Ice Hockey,Women's Ice Hockey,Men's Lacrosse,Women's Lacrosse,Men's Skiing,Women's Skiing,Men's Soccer,Women's Soccer,Men's Swimming and Diving,Women's Swimming and Diving,Men's Tennis,Women's Tennis,"Men's Track and Field, X-Country","Women's Track and Field, X-Country",Men's Volleyball,Women's Volleyball,Men's Water Polo,Women's Water Polo,Men's Wrestling,Women's Wrestling,Baseball,Women's Beach Volleyball,Women's Bowling,Women's Equestrian,Women's Field Hockey,Rifle,Women's Rowing,Softball,Women's Triathlon
Coastal Carolina University,Coastal Carolina,Sun Belt,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Coastal Carolina,Sun Belt,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Connecticut,Connecticut,Independent,2021,289293,788964,81037,,,94871,,,,,,,20255,,,41867,12792,73588,2441,20782,,35454,16101,,172,,,,,94159,,,,55262,,,16673,
Eastern Michigan University,Eastern Michigan,MAC,2018,8551496,2070043,1533667,,,325615,285148,,,,,,,,,,997009,710825,782421,,442918,906288,954010,,,,,663586,,881275,,,,,,844345,863847,
University of Illinois Urbana-Champaign,Illinois,Big Ten,2018,50658122,24482723,464612,,,610738,72320,83970,,,,,,,,,142529,,33837,,97534,104680,85346,,,,,169393,,295273,,,,,,,153809,
Kansas State University,Kansas State,Big 12,2019,57593192,13514726,343004,,,,,,,,,,,,,,19672,,,,,11222,14235,,53817,,,,,140547,,,,,,,,
Kansas State University,Kansas State,Big 12,2020,57146260,11909445,302728,,,,,,,,,,,,,,21171,,,,,9446,4596,,40567,,,,,19317,,,,,,,,
Kansas State University,Kansas State,Big 12,2021,38604205,7676331,179870,,,2278,8786,,,,,,,,,,6512,,,,8221,58919,8417,,12371,,,,,129632,,,,,,31840,,
Kent State University,Kent State,MAC,2018,2397391,359836,47290,,,91377,2006,,115965,,,,,,,,111153,,,,,60950,60949,,111298,,,103688,,235447,,,,29615,,,91001,
Louisiana Tech University,Louisiana Tech,C-USA,2019,8353550,2524073,1671114,,,321990,,,,,,,,,,,722288,,,,343503,625832,759814,,738953,,,,,1010020,,193749,,,,,654876,
Marshall University,Marshall,C-USA,2018,8654691,2867925,1028698,,,94674,230371,,,,,,,,,216752,583249,,602163,,370189,53254,756569,,564513,,,,,310897,,,,,,,654853,
Michigan State University,Michigan State,Big Ten,2018,81407893,25629340,2871886,,,1653439,1661930,,,3422984,,,,,,431144,328339,89356,44784,139625,52757,295805,144528,,723521,,,236910,,517522,,,,124430,,82550,99267,
University of Mississippi,Ole Miss,SEC,2018,51212053,10572244,368352,,,96471,130450,,,,,,,,,,504951,,,182726,231832,213520,330698,,287387,,,,,5812999,,,,,,,392732,
"University of Missouri, Columbia",Missouri,SEC,2020,39646114,10818454,365977,,,21760,134184,,44361,,,,,,,,47202,12526,12526,,2225,70847,70847,,83458,,,136236,,141231,,,,,,,127684,
University of New Mexico,New Mexico,Mountain West,2020,2105189,3582252,423035,,,103907,12914,,,,,,,,,,39612,,64569,3956,1573,53459,99281,,21129,,,,,51982,,,,,,,16991,
Northern Illinois University,Northern Illinois,MAC,2021,907068,284925,182427,,,474530,269816,,125359,,,,,,,192116,198144,,,82026,177422,,236397,,140973,,,200119,,308942,,,,,,,191355,
Old Dominion University,Old Dominion,C-USA,2019,8489968,2893763,614569,,,79182,94911,,,,,,20676,,,66501,43110,20411,22411,91865,87319,,,,16076,,,113546,,268144,,,,30985,,18597,,
San Diego State University,San Diego State,Mountain West,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose State University,San Jose State,Mountain West,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of South Carolina, Columbia",South Carolina,SEC,2020,69255386,10267956,3089470,,,32465,154851,,,,,,,,,154272,308655,235951,219299,79416,141060,414134,659879,,261595,,,,,1966240,53228,,145938,,,,573858,
The University of Southern Mississippi,Southern Mississippi,C-USA,2018,5684682,,197639,,,47065,17625,,,,,,,,,,25241,,,18686,16134,22866,35369,,84727,,,,,926534,,,,,,,135041,
University of Virginia,Virginia,ACC,2021,30422323,8909971,1074677,,,308454,458256,,,,,1365790,842940,,,892321,1067781,778576,917606,,518190,1000768,1023007,,1000946,,,,,1058607,,,,794435,,1290438,642382,
University of Washington,Washington,Pac-12,2018,80230690,9683868,2541649,,,454088,462934,,,,,,,,,295607,706894,,,335222,645052,249097,864410,,841989,,,,,529605,,,,,,1135746,966490,
University of Washington,Washington,Pac-12,2020,91704081,12459010,1465644,,,559372,513124,,,,,,,,,439317,892508,,,355115,687865,385652,1096347,,1284694,,,,,658446,82530,,,,,1435080,1006064,
Western Kentucky University,Western Kentucky,C-USA,2021,8805001,2939169,1300823,,,258560,328724,,,,,,,,,,717458,,,,363726,433376,360121,,910709,,,,,1181110,,,,,,,688809,
University of Alabama at Birmingham,UAB,C-USA,2021,"12,374,462","3,891,022","1,881,094",,,"431,119","445,529",,,,,,,,,"884,910","890,807",,,"377,763","483,176",,"1,045,393",,"842,420",,,,,"953,223","432,724","251,656",,,,,"907,652",
U.S. Naval Academy,Navy,AAC,2021,"9,623,651","69,893","84,127",,,"267,761","26,795","277,058",,,,"421,675","209,168",,,"83,381","125,823","258,645","183,168","24,715","43,001","287,048","287,048",,"31,753","98,726",,,,"149,797",,,,,,"73,847",,
Louisiana Tech University,Louisiana Tech,C-USA,2021,"8,040,205","2,270,696","1,617,505",,,"356,648",,,,,,,,,,,"667,810",,,,"320,351","601,420","579,327",,"702,518",,,,,"1,586,450",,"241,085",,,,,"578,335",
University of Washington,Washington,Pac-12,2021,"31,849,729","4,999,107","867,978",,,"263,238","371,578",,"588,304",,,,,,,"212,414","685,288",,,"146,375","421,590","207,907","1,067,669",,"681,463",,,,,"384,558","71,783",,,,,"1,125,951","809,933",
"Texas A&M University, College Station",Texas A&M,SEC,2021,"55,616,233","10,959,913","626,188",,,"931,313","140,488",,,,,,,,,,"2,363,392","454,363","461,052","517,149","399,284","3,739,055","3,741,885",,"641,543",,,,,"1,213,058",,,"228,115",,,,"477,100",
Ohio University,Ohio,MAC,2021,"7,714,501","3,173,579","1,628,797",,,"352,055","408,725",,,,,,,,,,"886,578",,"894,280",,,"150,475","1,114,225",,"1,041,939",,,"831,330",,"1,031,028",,,,"867,285",,,"966,408",
University of Utah,Utah,Pac-12,2021,"27,002,483","3,971,172","221,395",,,"626,638",,,"269,001",,,"568,045",,"41,390","89,485",,"162,759","105,935","165,543","79,851","211,636",,"233,386",,"334,283",,,,,"224,445",0,,,,,,"173,501",
"Indiana University, Bloomington",Indiana,Big Ten,2021,"33,963,297","11,416,316","184,694",,,"45,500","59,100",,,,,,,,,"132,000","99,413","83,206","83,050","37,000","37,000","130,134","121,250",,"102,746",,"37,000","50,598",,"120,915",,,,"56,000",,"93,500","120,670",
"California State University, Fresno",Fresno State,Mountain West,2021,"4,786,170","484,329","187,935",,,"33,695","96,508",,,,,,"101,960",,,,"79,777",,"138,564","56,977","78,240","6,307","147,233",,"113,273",,"360,219","283,248",,"179,783",,,"141,940",,,,"177,609",
East Carolina University,East Carolina,AAC,2021,"536,311","19,541","57,584",,,"31,766","37,004",,,,,,"5,350",,,,"10,772","-7,538",25,"5,958",479,"2,550","2,550",,"5,946",,,,,"407,151",,,,,,,"13,267",
University of Houston,Houston,AAC,2021,"1,661,071","1,129,885","46,219",,,"63,126","74,110",,,,,,,,,,"59,015",,"3,725",,"6,000","46,341","47,194",,"75,644",,,,,"417,882",,,,,,,"190,863",
