school,nickname,conference,year,Football,Men's Basketball,Women's Basketball,Men's Fencing,Women's Fencing,Men's Golf,Women's Golf,Men's Gymnastics,Women's Gymnastics,Men's Ice Hockey,Women's Ice Hockey,Men's Lacrosse,Women's Lacrosse,Men's Skiing,Women's Skiing,Men's Soccer,Women's Soccer,Men's Swimming and Diving,Women's Swimming and Diving,Men's Tennis,Women's Tennis,"Men's Track and Field, X-Country","Women's Track and Field, X-Country",Men's Volleyball,Women's Volleyball,Men's Water Polo,Women's Water Polo,Men's Wrestling,Women's Wrestling,Baseball,Women's Beach Volleyball,Women's Bowling,Women's Equestrian,Women's Field Hockey,Rifle,Women's Rowing,Softball,Women's Triathlon
The University of North Carolina at,Charlotte,C-USA,2021,"12,787,048","2,586,987","1,496,806",,,"571,409","505,117",,,,,,,,,"827,594","757,114",,,"397,054","484,016","753,414","728,250",,"817,116",,,,,"1,575,524",,,,,,,"913,301",
The University of Southern Mississippi,Southern Mississippi,C-USA,2021,"2,542,826","279,924","31,638",,,450,,,,,,,,,,,982,,,,,38,38,,"11,459",,,,,"435,520",190,,,,,,"15,951",
University of Mississippi,Ole Miss,SEC,2021,"49,111,536","9,382,573","1,071,406",,,"398,724","255,330",,,,,,,,,,"667,969",,,"302,599","332,348","701,843","724,295",,"374,475",,,,,"7,132,660",,,,,,,"697,808",
North Carolina State University,NC State,ACC,2021,"33,808,618","9,223,762","784,867",,,"292,218","364,072",,"601,076",,,,,,,"817,428","853,421","660,872","834,110","368,882","513,032","899,583","1,419,705",,"730,931",,,"687,925",,"961,165",,,,,,,"739,415",
University of New Mexico,New Mexico,Mountain West,2021,"742,425","469,303","34,402",,,"20,813",698,,,,,,,,,,"32,851",,"2,741","3,295",,"15,873","15,876",,"6,184",,,,,"172,904",,,,,,,"60,801",
"Rutgers, The State University of New",Rutgers,Big Ten,2021,"5,671,544","569,730","256,170",,,"128,085","45,064",,"71,776",,,"268,845","54,443",,,"152,900","252,092",,"49,339",,"21,517","63,939","23,093",,"32,286",,,,,"164,790",,,,"110,458",,"53,657","60,855",
San Jose State University,San Jose State,Mountain West,2021,"3,908,122","1,525,483","817,062",,,"447,208","364,167",,"96,055",,,,,,,"358,706","541,324",,"462,044",,"314,171","78,576","488,239",,"349,288","496,253","309,059",,,"620,672","10,224",,,,,,"527,811",
"University of Massachusetts, Amherst",Massachusetts,Independent,2021,"1,395,337","197,418","55,606",,,,,,,"712,757",,"320,422","68,646",,,"103,993","41,365","85,171","39,578",,"15,287","136,962","54,823",,,,,,,"81,235",,,,"42,736",,"45,578","49,304",
Oregon State University,Oregon State,Pac-12,2021,"18,896,164","4,041,368","274,863",,,"24,858","7,822",,"102,393",,,,,,,"57,600","18,051",,,,,,"28,998",,"50,289",,,"89,002",,"486,032",,,,,,"66,035","20,406",
Auburn University,Auburn,SEC,2021,"62,134,712","16,956,448","226,683",,,"108,079","81,316",,"197,192",,,,,,,,"179,142","44,042","51,806","74,617","108,858","236,791","272,327",,"140,287",,,,,"553,152",,,"422,964",,,,"200,438",
University of Texas at Austin,Texas,Big 12,2021,"98,170,395","10,604,154","2,046,527",,,"341,097","312,832",,,,,,,,,,"669,465","576,137","576,906","264,203","330,795","754,449","739,579",,"1,175,298",,,,,"4,175,612",,,,,,"518,797","983,683",
"University of South Carolina, Columbia",South Carolina,SEC,2021,"37,460,302","7,726,175","950,904",,,"24,000","171,170",,,,,,,,,"177,939","302,418","185,100","147,919","115,672","157,043","236,334","413,052",,"233,289",,,,,"2,235,729","69,542",,"315,605",,,,"51,353",
University of Memphis,Memphis,AAC,2021,"2,252,742","1,165,099","13,660",,,"58,336","14,029",,,,,,,,,"1,244",250,,,"35,200","1,822","3,906",,,,,,,,"41,016",,,,,,,"21,225",
University of Toledo,Toledo,MAC,2021,"643,475","204,804","57,784",,,"29,663","16,968",,,,,,,,,,"50,427",,"5,911","9,836","3,526","2,233","10,169",,"11,576",,,,,"24,132",,,,,,,"11,220",
Louisiana State University,LSU,SEC,2021,"37,409,734","7,428,061","131,970",,,"100,142","109,126",,"197,527",,,,,,,,"85,884","19,979","19,979","31,972","38,453","163,119","163,121",,"46,304",,,,,"2,939,944","47,724",,,,,,"398,477",
Georgia State University,Georgia State,Sun Belt,2021,"1,472,980","362,562","285,518",,,"22,922","121,066",,,,,,,,,"215,496","268,846",,,"57,129","154,572",,"87,667",,"279,795",,,,,"262,137","44,377",,,,,,"105,622",
University of Kentucky,Kentucky,SEC,2021,"29,768,438","8,744,566","179,984",,,"25,615","28,075",,"58,236",,,,,,,"73,112","36,895","20,444","35,476","26,871","23,318","60,694","58,768",,"165,256",,,,,"322,609",,,,,,,"137,406",
"University of Nebraska, Lincoln",Nebraska,Big Ten,2021,"53,233,502","5,196,830","585,218",,,"90,388","102,603","126,769","127,780",,,,,,,,"242,875",,"160,965","90,026","99,455","380,206","422,778",,"777,485",,,,,"1,176,126",0,"102,771",,,,,"282,269",
"University of Missouri, Columbia",Missouri,SEC,2021,"31,103,932","10,690,301","230,617",,,"39,992","100,594",,"33,610",,,,,,,,"8,430","29,452","29,452",,"24,350","79,937","79,937",,"121,988",,,"123,534",,"123,560",,,,,,,"357,298",
"University of Nevada, Las Vegas",UNLV,Mountain West,2021,"4,932,866","1,814,637","417,886",,,"266,672","157,342",,,,,,,,,"23,263","119,020","36,792","39,758","46,568","84,144",,"125,867",,"109,036",,,,,"286,763",,,,,,,"175,858",
University of Oklahoma,Oklahoma,Big 12,2021,"89,056,773","12,661,191","2,229,326",,,"340,819","197,963","178,287","403,310",,,,,,,,"335,733",,,"191,251","150,257","472,801","505,581",,"196,058",,,"386,728",,"1,239,236",,,,,,"640,452","1,317,295",
Iowa State University,Iowa State,Big 12,2021,"29,832,021","10,296,533","202,303",,,"22,696","75,226",,"58,267",,,,,,,,"397,936",,"356,311",,"58,799","269,971","678,917",,"43,939",,,"113,336",,,,,,,,,"358,077",
Virginia Polytechnic Institute and State,Virginia Tech,ACC,2021,"29,570,949","10,450,223","372,624",,,"30,949","24,079",,,,,,"68,089",,,"103,198","82,121","24,339","24,109","76,703","62,176","60,938","61,036",,"145,689",,,"45,380",,"291,211",,,,,,,"67,200",
University of Texas at San Antonio,UTSA,C-USA,2021,"5,687,592","579,701","404,127",,,"111,191","86,716",,,,,,,,,,"195,321",,,"15,996","6,641","60,252","391,055",,"301,334",,,,,"303,233",,,,,,,"182,569",
"University of California, Berkeley",California,Pac-12,2021,"23,318,926","4,939,736","387,082",,,"1,091,704","276,927","282,088","309,156",,,,"103,437",,,"282,495","70,069","713,370","382,663","382,196","224,502","175,182","194,375",,,,,,,"1,936,110",0,,,"100,422",,"108,598","87,731",
University of Louisiana at Lafayette,"Louisiana, Lafayette",Sun Belt,2021,"5,841,407","1,076,735","203,832",,,"47,216",,,,,,,,,,,"81,648",,,"54,455","35,541","61,082","69,006",,"110,585",,,,,"1,465,488",,,,,,,"455,238",
Texas State University,Texas State,Sun Belt,2021,"2,781,077","215,254","54,049",,,"68,553","77,613",,,,,,,,,,"10,207",,,,900,"14,039","14,039",,"44,154",,,,,"163,978",,,,,,,"49,171",
University of Illinois Urbana-Champaign,Illinois,Big Ten,2021,"41,652,157","12,948,283","690,228",,,"431,168","135,782","179,379","116,150",,,,,,,,"151,224",,"94,400","180,299","84,307","184,677","171,676",,"315,501",,,"241,643",,"305,184",,,,,,,"187,820",
Georgia Southern University,Georgia Southern,Sun Belt,2021,"3,093,803","598,711","166,739",,,"58,891","44,665",,,,,,,,,"201,616","238,351",,"145,377","72,173","108,649",,"54,551",,"193,831",,,,,"303,446",,,,,,,"150,035",
University of Wyoming,Wyoming,Mountain West,2021,"10,077,736","2,984,561","1,904,582",,,"2,698,509","506,551",,,,,,,,,,"1,029,265","596,752","802,674",,"581,030","826,987","1,093,056",,"982,137",,,"869,066",,,,,,,,,,
"University at Buffalo, the State University",Buffalo,MAC,2021,"10,095,438","2,569,833","2,072,218",,,,,,,,,,,,,,"876,412",,"1,066,608","440,538","624,785","524,349","841,146",,"978,293",,,"664,488",,,,,,,,,"882,384",
University of South Florida,South Florida,AAC,2021,"11,487,217","2,887,768","789,325",,,"72,242","64,668",,,,,,,,,"171,777","194,562",,,"64,406","65,129","62,426","121,494",,"69,003",,,,,"367,309",,,,,,,"225,379",
Central Michigan University,Central Michigan,MAC,2021,"383,688","199,131","235,656",,,,"68,291",,"56,437",,,,"45,067",,,,"32,545",,,,,"15,224","86,175",,"54,511",,,"161,854",,"155,048",,,,"38,439",,,"51,147",
"University of North Carolina, Chapel Hill",North Carolina,ACC,2021,"44,444,530","13,373,312","896,367","173,915","166,520","415,376","491,654",,"594,369",,,"1,244,641","949,906",,,"1,088,369","1,064,885","764,880","934,170","613,371","752,277","861,825","1,239,096",,,,,,,"1,162,802",,,,"834,092",,"337,239","864,093",
University of North Texas,North Texas,C-USA,2021,"2,624,162","290,898","79,349",,,"1,062,265","1,133,998",,,,,,,,,,"8,183",,739,,679,"2,504","2,341",,"2,592",,,,,,,,,,,,"74,241",
San Diego State University,San Diego State,Mountain West,2021,"8,083,330","3,126,496","1,557,126",,,"711,679","504,561",,,,,,"1,281,011",,,"1,031,688","1,045,720",,"1,131,648","418,060","454,642",,"1,663,838",,"1,037,132",,"1,018,850",,,"1,755,697",,,,,,"1,447,395","1,035,227",
Middle Tennessee State University,Middle Tennessee,C-USA,2021,"8,995,568","2,714,365","2,017,107",,,"886,262","367,543",,,,,,,,,,"862,690",,,"645,569","470,795","446,036","1,017,017",,"968,751",,,,,"1,286,218",,,,,,,"1,075,341",
Colorado State University,Colorado State,Mountain West,2021,"6,889,906","906,175","430,850",,,"111,374","34,068",,,,,,,,,,"39,581",,"6,829",,"31,233","37,186","41,240",,"331,748",,,,,,,,,,,,"70,284",
Oklahoma State University,Oklahoma State,Big 12,2021,"30,928,544","9,334,233","362,624",,,"671,519","191,638",,,,,,,,,,"245,217",,,"63,012","58,797","222,570","252,856",,,,,"399,587",,"1,315,147",,,"1,191,858",,,,"490,528",
Michigan State University,Michigan State,Big Ten,2021,"42,065,554","13,630,279","889,282",,,"540,529","588,054",,"65,811","3,429,135",,,,,,"170,281","101,256","36,679","20,816","129,020","42,289","112,428","86,331",,"270,733",,,,,"609,098",,,,"86,477",,"119,746","386,167",
University of Kansas,Kansas,Big 12,2021,"29,940,765","4,829,360","20,270",,,,,,,,,,,,,,"5,648",,"2,130",,77,"14,530","14,620",,"10,279",,,,,"37,480",,,,,,,"13,057",
Purdue University,Purdue,Big Ten,2021,"33,013,787","9,121,567","261,552",,,"158,094","104,516",,,,,,,,,,"486,474","327,210","200,695","88,394","146,022","136,450","117,639",,"215,993",,,"174,566",,"346,513",,,,,,,"411,454",
Western Michigan University,Western Michigan,MAC,2021,"681,295","359,627","68,152",,,,"3,058",,"2,360","306,540",,,,,,"34,996","37,663",,,"4,960","9,000",,100,,"56,221",,,,,"40,742",,,,,,,"2,995",
New Mexico State University,New Mexico State,Independent,2021,"4,922,542","1,661,267","480,787",,,"195,536","184,813",,,,,,,,,,"263,482",,"415,550","152,165","214,578","74,386","505,593",,"241,751",,,,,"295,651",,,,,,,"206,294",
University of Arizona,Arizona,Pac-12,2021,"22,402,075","11,412,070","825,896",,,"357,236","335,260",,"433,537",,,,,,,,"748,059","578,833","613,449","295,719","365,026","648,646","787,567",,"440,705",,,,,"1,282,856","234,626",,,,,,"1,537,907",
University of Texas at El Paso,UTEP,C-USA,2021,"5,189,487","2,770,572","618,327",,,"187,581","84,481",,,,,,,,,,"174,824",,,,"138,165","182,043","200,133",,"202,688",,,,,,,,,,,,"184,411",
"University of Maryland, College Park",Maryland,Big Ten,2021,"30,371,238","5,492,542","285,169",,,"27,080","27,573",,"284,931",,,"99,318","51,260",,,"14,044","163,434",,,,"132,899","77,877","99,916",,"195,840",,,,,"92,019",,,,"3,540",,,,
Kent State University,Kent State,MAC,2021,"42,075","64,975","4,457",,,"73,000",,,"3,233",,,,,,,,,,,,,,"3,073",,"4,149",,,"59,450",,"100,000",,,,"6,395",,,"1,698",
Appalachian State University,App State,Sun Belt,2021,"1,652,900","73,939","44,855",,,"38,686","23,318",,,,,,,,,,"36,684",,,,"11,519","26,060","23,210",,"4,827",,,"46,340",,"61,707",,,,"12,192",,,"14,875",
Washington State University,Washington State,Pac-12,2021,"22,501,898","3,827,007","817,682",,,"208,601","409,622",,,,,,,,,,"913,370",,"705,647",,"473,956","733,011","1,269,939",,"707,141",,,,,"1,323,193",,,,,,"1,011,236",,
Mississippi State University,Mississippi State,SEC,2021,"27,807,741","6,742,395","175,880",,,"27,311","48,311",,,,,,,,,,"42,385",,,"14,728","5,518","19,626","9,866",,"9,629",,,,,"2,048,972",,,,,,,"74,063",
